"","X","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung"
"21",21,"E30254010000000000005230788306675","Vestas Deutschland GmbH","V80",2000,"15.01.2002",7340055,49.319475,7.598403,100,80,734009055,66919,"Weselberg","Gemarkung Weselberg, Flurst. 3322","1800",2002-01-15,3170560,"7340","Südwestpfalz","734009","Thaleischweiler-Wallhalben",2475,3171,8415,265,2047.2576
"22",22,"E30254010000000000005230788501717","ENERCON GmbH","E66.70",1600,"24.12.2003",7336087,49.529003,7.600984,98,70,733608087,67753,"Rothselberg","Gemarkung Rothselberg, Flurst. 3240","1600",2003-12-19,1073544,"7336","Kusel","733608","Lauterecken-Wolfstein",2700,1074,9180,855,3164.5824
"23",23,"E30254010000000000005230788601719",NA,NA,NA,NA,NA,NA,NA,NA,NA,733207029,67271,"Kindenheim","Gemarkung Kindenheim, Flurstück 2800","1800",2003-07-24,2518435,"7332","Bad Dürkheim","733207","Leiningerland",2075,2518,7055,280,1771.2448
"24",24,"E30254010000000000005230788601720",NA,NA,NA,NA,NA,NA,NA,NA,NA,733207029,67271,"Kindenheim","Gemarkung Kindenheim, Flurstück 2624","1800",2003-07-17,2518435,"7332","Bad Dürkheim","733207","Leiningerland",2075,2518,7055,280,1771.2448
"25",25,"E30254010000000000005230788607050",NA,NA,NA,NA,NA,NA,NA,NA,NA,733207029,67271,"Kindenheim","Gemarkung Kindenheim, Flurstück 2820","1800",2003-07-30,2518436,"7332","Bad Dürkheim","733207","Leiningerland",2075,2518,7055,280,1771.2448
"26",26,"E30254010000000000005230788701721","Vestas Deutschland GmbH","V-80",2000,"12.06.2002",7335021,49.365883,7.619488,100,80,733511037,66851,"Queidersbach","Gemarkung Queidersbach, Flurst. 847, 847/2","2000",2002-06-12,3308188,"7335","Kaiserslautern","733511","Landstuhl",2375,3308,8075,244,1861.0368
"27",27,"E30254010000000000005230789301729","GE Renewable Germany GmbH","77 1,5",1500,"21.12.2003",7334001,49.173358,8.268825,100,77,733401001,76756,"Bellheim","Gemarkung Bellheim, Flurst. 1794/2","1500",2003-12-21,2282789,"7334","Germersheim","733401","Bellheim",2425,2283,8245,361,2327.5648
"28",28,"E30254010000000000005230789301730","GE Renewable Germany GmbH","77 1,5",1500,"21.12.2003",7334001,49.174193,8.262902,100,77,733401001,76756,"Bellheim","Gemarkung Bellheim, Flurst. 1761","1500",2003-12-21,2282789,"7334","Germersheim","733401","Bellheim",2425,2283,8245,361,2327.5648
"29",29,"E30254010000000000005230789306702","GE Renewable Germany GmbH","77 1,5",1500,"17.12.2003",7334001,49.175425,8.260155,100,77,733401001,76756,"Bellheim","Gemarkung Bellheim, Flurst. 1748/2","1500",2003-12-17,2282790,"7334","Germersheim","733401","Bellheim",2425,2283,8245,361,2327.5648
"30",30,"E30254010000000000005230789401732","ENERCON GmbH","E-66",1800,"16.07.2004",7335033,49.552833,7.656802,65,66,733510033,67737,"Olsbrücken","Gemarkung Olsbrücken, Flurst. 1531","1800",2004-07-16,2073185,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2073,8075,390,2343.1808
