"","X","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung"
"281",281,"E3025401WEA0005000060110000004636","ENERCON GmbH","E-101",3050,"15.05.2012",7336069,49.65111,7.70785,135.4,101,733608069,67759,"Nußbach","Gemarkung Nußbach Flur 1381","3050",2012-05-15,6399272,"7336","Kusel","733608","Lauterecken-Wolfstein",2700,6399,9180,143,1085.7024
"282",282,"E3025401WEA0005000060110000004637","ENERCON GmbH","E-101",3050,"24.04.2012",7336069,49.647764,7.70905,135.4,101,733608069,67759,"Nußbach","Gemarkung Nußbach Flur 1370","3050",2012-04-24,6399268,"7336","Kusel","733608","Lauterecken-Wolfstein",2700,6399,9180,143,1085.7024
"283",283,"E3025401WEA0005000060630000004685","Senvion Deutschland GmbH","3.4XM104",3370,"22.03.2012",7333079,49.653978,7.710362,128,104,733307079,67822,"Waldgrehweiler","Gemarkung Waldgrehweiler Flur 1302 und 1304","3370",2012-03-22,7362753,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,7363,8415,114,410.7008
"284",284,"E3025401WEA0005000060630000004686","Senvion Deutschland GmbH","3.4XM104",3370,"22.03.2012",7333079,49.656595,7.703714,128,104,733307079,67822,"Waldgrehweiler","Gemarkung Waldgrehweiler Flur 1234 und 1237","3370",2012-03-22,7362753,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,7363,8415,114,410.7008
"285",285,"E3025401WEA0005000068450000005343","Vestas Deutschland GmbH","V-90",2000,"12.01.2012",7133045,49.771022,7.855421,105,90,713301045,55585,"Hochstätten","Gemarkung Hochstätten, Flurstück 1028_1","2000",2012-01-12,3135739,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,3136,8840,282,2226.8416
"286",286,"E3025401WEA0005000068450000005344","Vestas Deutschland GmbH","V-90",2000,"29.12.2011",7133045,49.77204,7.85193,105,90,713301045,55585,"Hochstätten","Gemarkung Hochstätten, Flurstück 1032_5 und 1032_7","2000",2011-12-29,3135739,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,3136,8840,282,2226.8416
"287",287,"E3025401WEA0005000068450000005345","Vestas Deutschland GmbH","V-90",2000,"18.01.2012",7133045,49.765048,7.851277,105,90,713301045,55585,"Hochstätten","Gemarkung Hochstätten, Flurstück 595","2000",2012-01-18,3118619,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,3119,8840,283,2233.4784
"288",288,"E3025401WEA0005000077080000006148","Senvion Deutschland GmbH","3.2M114",3170,"14.02.2013",7333076,49.690702,8.099436,143,114,733304076,67294,"Stetten","Windpark Stetten","3170",2013-02-14,7477337,"7333","Donnersbergkreis","733304","Kirchheimbolanden",2475,7477,8415,113,366.1952
"289",289,"E3025401WEA0005000077080000006149","Senvion Deutschland GmbH","3.2M114",3170,"07.02.2013",7333076,49.686434,8.099806,143,114,733304076,67294,"Stetten","Windpark Stetten","3170",2013-02-07,7477337,"7333","Donnersbergkreis","733304","Kirchheimbolanden",2475,7477,8415,113,366.1952
"290",290,"E3025401WEA0005000077080000006150","Senvion Deutschland GmbH","3.2M114",3170,"29.12.2012",7333076,49.683401,8.102827,143,114,733304076,67294,"Stetten","Windpark Stetten","3170",2012-12-29,7477337,"7333","Donnersbergkreis","733304","Kirchheimbolanden",2475,7477,8415,113,366.1952
"291",291,"E3025401WEA0005000085560000006845","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"21.12.2012",7331024,49.698868,8.117693,140,112,733101024,55234,"Flomborn","keine Angabe","3075",2012-12-21,6484622,"7331","Alzey-Worms","733101","Alzey-Land",2150,6485,7310,113,322.08
"292",292,"E3025401WEA0005000085570000006846","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"28.12.2012",7331024,49.695375,8.118492,140,112,733101024,55234,"Flomborn","keine Angabe","3075",2012-12-28,6484622,"7331","Alzey-Worms","733101","Alzey-Land",2150,6485,7310,113,322.08
"293",293,"E3025401WEA0005000085580000006847","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"25.01.2013",7331024,49.69306,8.120405,140,112,733101024,55234,"Flomborn","Flur 2 Flurstück 71_1","3075",2013-01-25,6484622,"7331","Alzey-Worms","733101","Alzey-Land",2150,6485,7310,113,322.08
"294",294,"E3025401WEA0005000085590000006848","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"07.02.2013",7331024,49.68764,8.12329,140,112,733101024,55234,"Flomborn","Flur 25 Flurstück 60 und 61","3075",2013-02-07,6484622,"7331","Alzey-Worms","733101","Alzey-Land",2150,6485,7310,113,322.08
"295",295,"E3025401WEA0005000087220000006951","Vestas Deutschland GmbH","Vestas V112-3.0 MW",3075,"21.02.2013",7331024,49.690244,8.121496,140,112,733101024,55234,"Flomborn","Flur 25 Flurstück 9","3075",2013-02-21,6484628,"7331","Alzey-Worms","733101","Alzey-Land",2150,6485,7310,113,322.08
"296",296,"E3025401WEA0005000093180000007504","ENERCON GmbH","E-82 E2",2300,"29.07.2013",7340221,49.168909,7.45952,138.4,82,734008221,66484,"Riedelberg","Flurstück 3216 und 3217","2300",2013-07-19,4144935,"7340","Südwestpfalz","734008","Zweibrücken-Land",2475,4145,8415,203,1667.008
"297",297,"E3025401WEA0005000093220000007507","ENERCON GmbH","E-82 E2",2300,"19.07.2013",7340221,49.169291,7.46407,138.4,82,734008221,66484,"Riedelberg","Flurstück 3264 und 3265","2300",2013-07-29,4144935,"7340","Südwestpfalz","734008","Zweibrücken-Land",2475,4145,8415,203,1667.008
"298",298,"E3025401WEA0005000093240000007509","ENERCON GmbH","E-82 E2",2300,"16.08.2013",7340221,49.166747,7.4593,138.4,82,734008221,66484,"Riedelberg","Flurstück 3291 und 3307","2300",2013-08-02,4144935,"7340","Südwestpfalz","734008","Zweibrücken-Land",2475,4145,8415,203,1667.008
"299",299,"E3025401WEA0005000093260000007510","ENERCON GmbH","E-82 E2",2300,"02.08.2013",7340221,49.167138,7.464524,138.4,82,734008221,66484,"Riedelberg","Flurstück 931 und 932","2300",2013-08-16,4144927,"7340","Südwestpfalz","734008","Zweibrücken-Land",2475,4145,8415,203,1667.008
"300",300,"E3025401WEA0005000102220000011949","ENERCON GmbH","E82; 2,3MW",2300,"27.12.2013",7133032,49.76563,7.870572,138,82,713301032,55546,"Fürfeld","Flur 16 Nr 25","2300",2013-12-27,3966213,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,3966,8840,223,1902.8096
"301",301,"E3025401WEA0005000102220000011950",NA,NA,NA,NA,NA,NA,NA,NA,NA,713301032,55546,"Fürfeld","Flur 17 Nr 32","3050",2013-12-23,5712691,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,5713,8840,155,1220.7808
"302",302,"E3025401WEA0005000102220000011951",NA,NA,NA,NA,NA,NA,NA,NA,NA,713301032,55546,"Fürfeld","Flur 17 Nr 24","3050",2013-12-18,5549703,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,5550,8840,159,1284.416
"303",303,"E3025401WEA000500010222FUERFELD04",NA,NA,NA,NA,NA,NA,NA,NA,NA,713301032,55546,"Fürfeld","UW Oberndorf (Übergabestation) 999","3050",2014-07-14,5549703,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,5550,8840,159,1284.416
"304",304,"E3025401WEA0005000149650000015655",NA,NA,NA,NA,NA,NA,NA,NA,NA,733702072,76889,"Schweighofen",NA,"2,4",2018-08-06,75,"7337","Südliche Weinstraße","733702","Bad Bergzabern",2515,0,8551,Inf,3338.3104
"305",305,"E3025401WEA00O4100036880000014696","Vestas Deutschland GmbH","V126",3450,"27.03.2018",7336101,49.461998,7.368058,137,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",306,"E3025401WEA00UWALSENZ370000000001","Vestas Deutschland GmbH","V112",3075,"01.08.2014",7333003,49.722701,7.845204,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-08-01,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"307",307,"E3025401WEA00UWALSENZ370000000002","Vestas Deutschland GmbH","V112",3075,"28.07.2014",7333003,49.719999,7.847599,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-07-28,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"308",308,"E3025401WEA00UWALSENZ370000000003","Vestas Deutschland GmbH","V112",3075,"12.08.2014",7333003,49.712375,7.842549,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-08-12,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"309",309,"E3025401WEA00UWALSENZ370000000004","Vestas Deutschland GmbH","V112",3075,"19.08.2014",7333003,49.707528,7.839031,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-08-19,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"310",310,"E3025401WEA00UWALSENZ370000000005","Vestas Deutschland GmbH","V112",3075,"25.08.2014",7333003,49.709958,7.834728,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-08-25,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"311",311,"E3025401WEA00UWALSENZ370000000006","Vestas Deutschland GmbH","V112",3075,"13.08.2014",7333049,49.728688,7.900302,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-08-13,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"312",312,"E3025401WEA00UWALSENZ370000000007","Vestas Deutschland GmbH","V112",3075,"22.08.2014",7333049,49.731707,7.899026,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-08-22,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"313",313,"E3025401WEA00UWALSENZ370000000008","Vestas Deutschland GmbH","V112",3075,"22.08.2014",7333049,49.733478,7.905592,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-08-22,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"314",314,"E3025401WEA00UWALSENZ370000000009","Vestas Deutschland GmbH","V112",3075,"17.09.2014",7333050,49.747342,7.909777,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-09-17,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"315",315,"E3025401WEA00UWALSENZ370000000010","Vestas Deutschland GmbH","V112",3075,"04.09.2014",7333050,49.744968,7.912732,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-09-04,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"316",316,"E3025401WEA00UWALSENZ370000000011","Vestas Deutschland GmbH","V112",3075,"19.09.2014",7333050,49.738819,7.905388,140,112,733307003,67821,"Alsenz","Hauptstr.","3075",2014-09-19,6980442,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,6980,8415,121,560.224
"317",317,"E3025401WEA0ENERGIEPARKGOLLHEIM01","Vestas Deutschland GmbH","V112",3075,"18.07.2014",7333026,49.58874,8.075503,140,112,733303026,67307,"Göllheim","Leininger Weg","3075",2014-07-18,6902789,"7333","Donnersbergkreis","733303","Göllheim",2475,6903,8415,122,590.2848
"318",318,"E3025401WEA0FUERFELD000WEA0501617",NA,NA,NA,NA,NA,NA,NA,NA,NA,713301032,55546,"Fürfeld","UW Oberndorf (Übergabestation) 999","3050",2014-12-03,5549703,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,5550,8840,159,1284.416
"319",319,"E3025401WEA0FUERFELD000WEA0601530",NA,NA,NA,NA,NA,NA,NA,NA,NA,713301032,55546,"Fürfeld","UW Oberndorf (Übergabestation) 999","3050",2014-12-10,5549703,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,5550,8840,159,1284.416
"320",320,"E3025401WEA0FUERFELD000WEA0700155",NA,NA,NA,NA,NA,NA,NA,NA,NA,713301032,55546,"Fürfeld","UW Oberndorf (Übergabestation) 999","3050",2014-11-17,5549709,"7133","Bad Kreuznach","713301","Bad Kreuznach",2600,5550,8840,159,1284.416
"321",321,"E3025401WEA0UWLINDENWEA1003501534",NA,NA,NA,NA,NA,NA,NA,NA,NA,734009219,66919,"Obernheim-Kirchenarnbach","Nähe L448   Fl 1440","3300",2014-11-07,8325595,"7340","Südwestpfalz","734009","Thaleischweiler-Wallhalben",2475,8326,8415,101,34.7456
"322",322,"E3025401WEA0UWLINDENWEA2003501550",NA,NA,NA,NA,NA,NA,NA,NA,NA,734009219,66919,"Obernheim-Kirchenarnbach","Nähe L448   Fl 1440","3300",2014-11-07,8325595,"7340","Südwestpfalz","734009","Thaleischweiler-Wallhalben",2475,8326,8415,101,34.7456
"323",323,"E3025401WEA100BUBENHEIM0003530582","GE Wind Energy GmbH","GE 2.5-120",2750,"06.02.2015",7333012,49.620999,8.130567,139,120,733303006,67308,"Biedesheim","Nähe L448 999 Fl. 1571","2530",2015-02-06,6152309,"7333","Donnersbergkreis","733303","Göllheim",2475,6152,8415,137,883.4752
"324",324,"E3025401WEA1SIPPERSFELD0337001329","ENERCON GmbH","E101",3050,"30.12.2014",7333009,49.563997,7.913271,135.4,101,733306009,67725,"Börrstadt","Am Streitacker   FL.2023/4","3050",2014-12-30,7685863,"7333","Donnersbergkreis","733306","Winnweiler",2475,7686,8415,109,284.6016
"325",325,"E3025401WEA2SIPPERSFELD0337001494","ENERCON GmbH","E101",3050,"17.12.2014",7333071,49.562094,7.916549,135.4,101,733306071,67729,"Sippersfeld","Am Streitacker   FL.2023/4","3050",2014-12-17,7685863,"7333","Donnersbergkreis","733306","Winnweiler",2475,7686,8415,109,284.6016
"326",326,"E3025401WEA300BUBENHEIM0003530502","GE Wind Energy GmbH","GE 2.5-120",2750,"20.02.2015",7333012,49.626581,8.1361,139,120,733303006,67308,"Biedesheim","Nähe L448 999 Fl. 1571","2530",2015-02-20,6152305,"7333","Donnersbergkreis","733303","Göllheim",2475,6152,8415,137,883.4752
"327",327,"E3025401WEA3SIPPERSFELD0337001495","ENERCON GmbH","E101",3050,"23.12.2014",7333071,49.55964,7.918609,135.4,101,733306071,67729,"Sippersfeld","Am Streitacker   FL.2023/4","3050",2014-12-23,7685863,"7333","Donnersbergkreis","733306","Winnweiler",2475,7686,8415,109,284.6016
"328",328,"E30568011000000000000002251100001","Schütz GmbH & Co. KGaA","VT110",3200,"29.08.2017",7132113,50.71272,7.947602,143.2,110,713203113,57586,"Weitefeld","Flur 5 Flurst. 120","3200",2017-08-29,5359680,"7132","Altenkirchen","713203","Daaden-Herdorf",1760,5360,5984,112,243.6096
"329",329,"E30613019020000000000000589300001","Vestas Deutschland GmbH","V112-3.0",3075,"05.11.2014",7312000,49.475803,7.814618,140,112,733502026,67678,"Mehlingen",NA,"3075",2014-11-05,6699240,"7335","Kaiserslautern","733502","Enkenbach-Alsenborn",2375,6699,8075,121,537.1904
"330",330,"E30613019020000000000000589300002","Vestas Deutschland GmbH","V112-3.0",3075,"05.11.2014",7312000,49.471795,7.806974,140,112,733502026,67678,"Mehlingen",NA,"3075",2014-11-05,6699240,"7335","Kaiserslautern","733502","Enkenbach-Alsenborn",2375,6699,8075,121,537.1904
"331",331,"E30613019020000000000000589300003","Vestas Deutschland GmbH","V112-3.0",3075,"10.11.2014",7312000,49.469903,7.816209,140,112,733502026,67678,"Mehlingen",NA,"3075",2014-11-10,6699240,"7335","Kaiserslautern","733502","Enkenbach-Alsenborn",2375,6699,8075,121,537.1904
"332",332,"E30773010000000000000000200100013","Vestas Deutschland GmbH","V80",2000,"23.07.2003",7333025,49.677035,7.902818,100,80,733307025,67813,"Gerbach","Schnebergerhof V80 099","2000",2003-07-23,3948094,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,3948,8415,213,1743.9168
"333",333,"E30773010000000000000000200100014","ENERCON GmbH","E-66/18.70",1800,"27.10.2003",7333025,49.678704,7.892354,98,70,733307025,67813,"Gerbach","Schnebergerhof E66 113","1800",2003-09-30,3553285,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,3553,8415,237,1898.1248
"334",334,"E30773010000000000000000200100015","ENERCON GmbH","E-66/18.70",1800,"23.09.2003",7333025,49.67524,7.895377,114,70,733307025,67813,"Gerbach","Schnebergerhof E66 114","1800",2003-09-30,3553285,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,3553,8415,237,1898.1248
"335",335,"E30856010000000000000000000100064","ENERCON GmbH","Enercon E-82",2000,"29.04.2011",7338016,49.528511,8.310642,108,82,733806016,67245,"Lambsheim","Nachtweide","2000",2011-03-31,2921539,"7338","Rhein-Pfalz","733806","Lambsheim-Heßheim",1635,2922,5559,190,1029.4848
"336",336,"E30856010000000000000000000100070","ENERCON GmbH","Enercon E-82",2000,"13.04.2011",7338016,49.532975,8.309531,108,82,733806016,67245,"Lambsheim","Nachtweide","2000",2011-03-31,2921539,"7338","Rhein-Pfalz","733806","Lambsheim-Heßheim",1635,2922,5559,190,1029.4848
"337",337,"E30873010003403410000000S00100002","Vestas Deutschland GmbH","V-80",2000,"29.12.2002",7338013,49.581253,8.29175,100,80,733806013,67259,"Heuchelheim","Fischerweg 0","2012",2002-12-27,2508602,"7338","Rhein-Pfalz","733806","Lambsheim-Heßheim",1635,2509,5559,222,1190.72
"338",338,"E31060010000000072131001000100095",NA,NA,NA,NA,NA,NA,NA,NA,NA,731500000,55129,"Mainz","Töngesstraße 100a","600",2000-03-03,712897,"7315","Mainz","731500","Mainz",2300,713,7820,1097,2774.5728
"339",339,"E31060010000000072260994100100283",NA,NA,NA,NA,NA,NA,NA,NA,NA,731500000,55129,"Mainz","Ebersheim Süd (4)","800",2007-07-23,1325213,"7315","Mainz","731500","Mainz",2300,1325,7820,590,2535.648
"340",340,"E31060010000000072280991000100070",NA,NA,NA,NA,NA,NA,NA,NA,NA,731500000,55129,"Mainz","Ebersheim Süd (1)","600",2000-07-11,993910,"7315","Mainz","731500","Mainz",2300,994,7820,787,2664.8704
"341",341,"E31060010000000072280991000100384",NA,NA,NA,NA,NA,NA,NA,NA,NA,731500000,55129,"Mainz","Ebersheim Süd (2)","600",2000-07-11,993910,"7315","Mainz","731500","Mainz",2300,994,7820,787,2664.8704
"342",342,"E31060010000000072280991000100385",NA,NA,NA,NA,NA,NA,NA,NA,NA,731500000,55129,"Mainz","Ebersheim Süd (3)","600",2001-03-22,993910,"7315","Mainz","731500","Mainz",2300,994,7820,787,2664.8704
"343",343,"E31060010000000094100991100100155","ENERCON GmbH","E-82",2000,"18.10.2006",7315000,49.93926,8.24093,108,82,731500000,55129,"Mainz","Ludwig-Erhard-Straße 99a","2000",2006-10-18,3792316,"7315","Mainz","731500","Mainz",2300,3792,7820,206,1572.5312
"344",344,"E31060010000000094100992100100378","ENERCON GmbH","E-82",2000,"08.11.2006",7315000,49.93844,8.24408,108,82,731500000,55129,"Mainz","Ludwig-Erhard-Straße 99b","2000",2006-11-08,3366844,"7315","Mainz","731500","Mainz",2300,3367,7820,232,1738.4512
"345",345,"E31060010000000094100993300100653","ENERCON GmbH","E-82 E2",2000,"22.01.2010",7339032,49.94255,8.23876,108,82,731500000,55129,"Mainz","Ludwig-Erhard-Straße 99c","2000",2010-01-22,3656757,"7315","Mainz","731500","Mainz",2300,3657,7820,214,1625.2352
"346",346,"E31102010000000000001008269700001","ENERCON GmbH","E-40/5.40",500,"07.08.1998",7143202,50.6237,7.8508,65,40.3,714302202,57642,"Alpenrod","Außenbereich / Flurstück( 46/47 )","500",1998-08-07,535740,"7143","Westerwald","714302","Hachenburg",2350,536,7990,1491,2910.0416
"347",347,"E31102010000000000001008269700002","ENERCON GmbH","E-40/5.40",500,"13.08.1998",7143202,50.6196,7.8544,65,40.3,714302202,57642,"Alpenrod","Außenbereich / Flurstück( 48 )","500",1998-08-13,535740,"7143","Westerwald","714302","Hachenburg",2350,536,7990,1491,2910.0416
"348",348,"E31102010000000000001008269700003","ENERCON GmbH","E-40/6.44 E1",600,"22.09.2000",7143202,50.6208,7.8527,65,44,714302202,57642,"Alpenrod","Außenbereich / Flurstück( 48 )","600",2000-09-22,630752,"7143","Westerwald","714302","Hachenburg",2350,631,7990,1266,2872.9536
"349",349,"E31102010000000000001273647300001",NA,NA,NA,NA,NA,NA,NA,NA,NA,714310060,56244,"Sainerholz","Am Beulstein / Flurstück( 1708 + 1709 )","250",1996-08-02,222237,"7143","Westerwald","714310","Wirges",2350,222,7990,3599,3032.6272
"350",350,"E31102010000000000001273901400001","Fuhrländer AG","FL 250",250,"17.01.1995",7143220,50.519482,7.882494,41.5,NA,714308220,56244,"Ettinghausen","Auf dem Küppel / Flurstück( 1368 )","250",1995-01-16,202306,"7143","Westerwald","714308","Wallmerod",2350,202,7990,3955,3040.4352
"351",351,"E31102010000000000001273977400001","NEG Micon Deutschland GmbH","M570 200/40",200,"26.11.1993",7143295,50.670606,8.043634,36,27,714306295,56479,"Stein-Neukirch","Am Galgenberg / Flurstück( 129 )","200",1993-11-12,194820,"7143","Westerwald","714306","Rennerod",2350,195,7990,4097,3043.168
"352",352,"E31102010000000000001274022500001","Fuhrländer AG","FL 1000",1000,"04.12.2001",7143220,50.530817,7.878062,70,54,714308232,56244,"Hahn am See","Außenbereich / Flurstück( 1765,1762,1736 )","1000",2001-12-04,971282,"7143","Westerwald","714308","Wallmerod",2350,971,7990,823,2740.2176
"353",353,"E31102010000000000001274253800001","Fuhrländer AG","FUH15 G1 D250",250,"29.11.1994",7143225,50.694,7.725945,42,30,714302250,57612,"Kroppach","Flurstück( 9 )","250",1994-11-29,158788,"7143","Westerwald","714302","Hachenburg",2350,159,7990,5025,3057.2224
"354",354,"E31102010000000000001274255400001",NA,NA,NA,NA,NA,NA,NA,NA,NA,714302225,57612,"Giesenhausen","Flurstück( 13/2 )","600",1996-08-27,609360,"7143","Westerwald","714302","Hachenburg",2350,609,7990,1312,2881.5424
"355",355,"E31102010000000000001274308900001","Vestas Deutschland GmbH","V44",600,"13.05.1996",7143222,50.65,8.00336,53,44,714301222,56472,"Fehl-Ritzhausen","Flurstück( 49 + 50)","600",1996-05-13,64295,"7143","Westerwald","714301","Bad Marienberg",2350,64,7990,12484,3094.3104
"356",356,"E31102010000000000001274308900002",NA,NA,NA,NA,NA,NA,NA,NA,NA,714301222,56472,"Fehl-Ritzhausen","Flurstück( 35 + 36 )","500",1996-05-13,53579,"7143","Westerwald","714301","Bad Marienberg",2350,54,7990,14796,3098.2144
"357",357,"E31102010000000000001274362300001","Fuhrländer AG","FL 800",800,"09.07.1998",7143248,50,7,70,48,714301248,57629,"Kirburg","Auf der Heide / Flurstück( 685-688 )","800",1998-07-09,930300,"7143","Westerwald","714301","Bad Marienberg",2350,930,7990,859,2756.224
"358",358,"E31102010000000000001274399200001",NA,NA,NA,NA,NA,NA,NA,NA,NA,714301280,57629,"Norken","Flurstück( 1428 )","100",1993-11-25,71850,"7143","Westerwald","714301","Bad Marienberg",2350,72,7990,11097,3091.1872
"359",359,"E31102010000000000001274402600001","AN-Maschinenbau- und Umweltschutzanlagen GmbH","150/30 - 50Hz",150,"26.04.1991",7143253,50.704533,7.944676,30,23,714301253,57520,"Langenbach bei Kirburg","Hinter dem Buchenstrauche, WEA I","150",1991-04-26,148635,"7143","Westerwald","714301","Bad Marienberg",2350,149,7990,5362,3061.1264
"360",360,"E31102010000000000001274404200001","ENERCON GmbH","E-40/5.40",500,"24.09.1997",7143253,50.705,7.9496,65,40.3,714301253,57520,"Langenbach bei Kirburg","Flurstück (29/1)","500",1997-09-24,740398,"7143","Westerwald","714301","Bad Marienberg",2350,740,7990,1080,2830.4
"361",361,"E31102010000000000001274406900001","AN-Maschinenbau- und Umweltschutzanlagen GmbH","AN Bonus 600/41",600,"06.04.1995",7143253,50.708,7.9456,50,41,714301253,57520,"Langenbach bei Kirburg","Bei dem Bäumchen","600",1995-04-06,592103,"7143","Westerwald","714301","Bad Marienberg",2350,592,7990,1350,2888.1792
"362",362,"E31102010000000000001274407700001","ENERCON GmbH","E-40/5.40",500,"25.02.1997",7143253,50.707,7.947,65,40.3,714301253,57520,"Langenbach bei Kirburg","Flurstück (29 / 1)","500",1997-02-25,725955,"7143","Westerwald","714301","Bad Marienberg",2350,726,7990,1101,2835.8656
"363",363,"E31102010000000000001274409300001","Fuhrländer AG","Fuhrländer FL250",250,"26.10.1998",7143253,50.270108,7.97512,41.5,NA,714301253,57520,"Langenbach bei Kirburg","Flurstück (29/1)","250",1998-10-26,213145,"7143","Westerwald","714301","Bad Marienberg",2350,213,7990,3751,3036.1408
"364",364,"E31102010000000000001274439500001","ENERCON GmbH","E58",950,"03.12.2003",7143243,50.668215,8.032498,89,58,714301243,56472,"Hof","Flurstück( 64 )","950",2003-11-24,2398496,"7143","Westerwald","714301","Bad Marienberg",2350,2398,7990,333,2183.1168
"365",365,"E31102010000000000001274440900001",NA,NA,NA,NA,NA,NA,NA,NA,NA,714306291,56479,"Salzburg","Auf dem Schüwel / Flurstück( 136 )","250",1996-05-29,289110,"7143","Westerwald","714306","Rennerod",2350,289,7990,2765,3006.4704
"366",366,"E31102010000000000001274441700001","Vestas Deutschland GmbH","V39",500,"15.12.1994",7143243,50.6671,8.0304,53,39,714301243,56472,"Hof","Flurstück( 68 )","500",1994-12-12,676071,"7143","Westerwald","714301","Bad Marienberg",2350,676,7990,1182,2855.3856
"367",367,"E31102010000000000001274442500001","ENERCON GmbH","E-40",500,"19.09.1997",7143243,50.664279,8.010153,65,40,714301243,56472,"Hof","Flurstück( 77 )","500",1997-09-19,668466,"7143","Westerwald","714301","Bad Marienberg",2350,668,7990,1196,2858.5088
"368",368,"E31102010000000000001274443300001","ENERCON GmbH","E40",500,"07.03.1996",7143243,50.6675,8.0347,65,40,714306291,56479,"Salzburg","Flurstück( 134 )","500",1996-03-06,829245,"7143","Westerwald","714306","Rennerod",2350,829,7990,964,2795.6544
"369",369,"E31102010000000000001274444100001","Nordex SE","Nordex N29",250,"27.09.1995",7143291,50.67083,8.05378,50,29,714306291,56479,"Salzburg","Flurstück( 66/1 )","250",1995-09-28,298594,"7143","Westerwald","714306","Rennerod",2350,299,7990,2672,3002.5664
"370",370,"E31102010000000000001274446800001","ENERCON GmbH","E-40/5.40",500,"11.03.1996",7143291,50.67,8.051,48,40.3,714306291,56479,"Salzburg","Flurstück( 66/2 )","500",1996-03-11,731241,"7143","Westerwald","714306","Rennerod",2350,731,7990,1093,2833.9136
"371",371,"E31102010000000000001274448400001","Fuhrländer AG","Astos 100",100,"25.02.1992",7143243,50.669854,8.020838,33,21,714301243,56472,"Hof","Flurstück( 118 )","100",1993-02-25,73006,"7143","Westerwald","714301","Bad Marienberg",2350,73,7990,10945,3090.7968
"372",372,"E31102010000000000001274448400002","Fuhrländer AG","Astos 100",100,"25.02.1993",7143243,50.670973,8.022326,33,21,714301243,56472,"Hof","Flurstück( 118 )","100",1993-02-25,73006,"7143","Westerwald","714301","Bad Marienberg",2350,73,7990,10945,3090.7968
"373",373,"E31102010000000000001274449200001","ENERCON GmbH","E-40/5.40",500,"18.09.1997",7143243,50.6683,8.0301,65,40.3,714301243,56472,"Hof","Auf dem Schüwel / Flurstück( 118 + 120 )","500",1997-09-18,807690,"7143","Westerwald","714301","Bad Marienberg",2350,808,7990,989,2803.8528
