"","adress","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung","lat_wgs84","lon_wgs84"
"71","Eulgem 56761 Germany","E31238010000000000000052924318045",NA,NA,NA,NA,NA,NA,NA,NA,NA,713502028,56761,"Eulgem","Hambucher Str. 900Z / 11","1500","2003-12-15",2150681,7135,"Cochem-Zell",713502,"Kaisersesch",2275,2151,7735,360,2179.9936,50.2396221455103,7.17554795385322
"72","Eulgem 56761 Germany","E31238010000000000000052924301500",NA,NA,NA,NA,NA,NA,NA,NA,NA,713502028,56761,"Eulgem","Hambucher Str. 900Z / 87","1500","2003-12-11",2150681,7135,"Cochem-Zell",713502,"Kaisersesch",2275,2151,7735,360,2179.9936,50.239744992296,7.17560114967229
"73","Eulgem 56761 Germany","E31238010000000000000052924318046",NA,NA,NA,NA,NA,NA,NA,NA,NA,713502028,56761,"Eulgem","Hambucher Str. 900Z / 11","1500","2003-12-10",2150681,7135,"Cochem-Zell",713502,"Kaisersesch",2275,2151,7735,360,2179.9936,50.2394436171592,7.17566493645779
"74","Euscheid 54597 Germany","E31238010000000000000056095100950","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"21.12.2005",7232247,50.16083,6.232942,90,82,723201221,54597,"Euscheid","Dorfstr. 900Z","2300","2005-12-21",2443568,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,2444,6375,261,1534.6624,50.1610076935708,6.23286903402145
"75","Euscheid 54597 Germany","E31238010000000000000056095150932","Siemens Wind Power GmbH & Co. KG","SWT 1.3",1300,"30.12.2005",7232247,50.163753,6.241298,90,62,723201221,54597,"Euscheid","Dorfstr. 900Z","1300","2005-12-30",1426133,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,1426,6375,447,1932.0896,50.1639470063542,6.24132541719279
"76","Euscheid 54597 Germany","E31238010000000000000056095101563","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"18.12.2005",7232247,50.164059,6.231964,90,82,723201221,54597,"Euscheid","Dorfstr. 900Z","2300","2005-12-18",2443568,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,2444,6375,261,1534.6624,50.1641091888533,6.23199413051888
"77","Euscheid 54597 Germany","E31238010000000000000056095101562","Siemens Wind Power GmbH & Co. KG","SWT 1.3",1300,"08.12.2005",7232247,50.160005,6.245029,90,62,723201221,54597,"Euscheid","Dorfstr. 900Z","1300","2005-12-08",1426133,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,1426,6375,447,1932.0896,50.160080446228,6.24505473068691
"78","Euscheid 54597 Germany","E31238010000000000000056095150931","Siemens Wind Power GmbH & Co. KG","SWT 2.3",2300,"28.12.2005",7232247,50.163719,6.235909,90,82,723201221,54597,"Euscheid","Dorfstr. 900Z","2300","2005-12-28",2443568,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,2444,6375,261,1534.6624,50.1635898164872,6.23604485907873
"79","Fehl-Ritzhausen 56472 Germany","E31102010000000000001274308900001","Vestas Deutschland GmbH","V44",600,"13.05.1996",7143222,50.65,8.00336,53,44,714301222,56472,"Fehl-Ritzhausen","Flurstück( 49 + 50)","600","1996-05-13",64295,7143,"Westerwald",714301,"Bad Marienberg",2350,64,7990,12484,3094.3104,50.6500096337099,8.00333285546446
"80","Fehl-Ritzhausen 56472 Germany","E31102010000000000001278035900001","ENERCON GmbH","E-66/18.70",1800,"30.03.2004",7143222,50.653402,8.005816,85,70,714301222,56472,"Fehl-Ritzhausen","Flurstück( 23/1,23/2,24,28 )","1800","2004-03-30",2821749,7143,"Westerwald",714301,"Bad Marienberg",2350,2822,7990,283,2017.5872,50.6533935555974,8.00579625743654
"81","Fehl-Ritzhausen 56472 Germany","E31102010000000000001274308900002",NA,NA,NA,NA,NA,NA,NA,NA,NA,714301222,56472,"Fehl-Ritzhausen","Flurstück( 35 + 36 )","500","1996-05-13",53579,7143,"Westerwald",714301,"Bad Marienberg",2350,54,7990,14796,3098.2144,50.6448150410999,8.00262847946007
"82","Feilbingert 67824 Germany","E30254010000000000005230788104101","ENERCON GmbH","ENERCON E-40/6.44",600,"12.07.2001",7133003,49.770811,7.793545,65,44,713301030,67824,"Feilbingert","Gemarkung Feilbingert, Flurst. 494/1,Auf der Heide","600","2001-07-09",732480,7133,"Bad Kreuznach",713301,"Bad Kreuznach",2600,732,8840,1208,3165.3632,49.770620978739,7.79355660768205
"83","Feilbingert 67824 Germany","E30254010000000000005230788101705","ENERCON GmbH","E-40/6.44",600,"11.07.2001",7133003,49.768817,7.796151,65,44,713301030,67824,"Feilbingert","Gemarkung Feilbingert, Flurst. 415, Auf der Heide","600","2001-07-09",732484,7133,"Bad Kreuznach",713301,"Bad Kreuznach",2600,732,8840,1208,3165.3632,49.7689803957808,7.79601847791469
"84","Feilbingert 67824 Germany","E30254010000000000005230788101704","ENERCON GmbH","ENERCON E-40/6.44",600,"11.07.2001",7133003,49.770345,7.796039,65,44,713301030,67824,"Feilbingert","Gemarkung Feilbingert, Flurst. 457, Auf der Heide","600","2001-07-09",732484,7133,"Bad Kreuznach",713301,"Bad Kreuznach",2600,732,8840,1208,3165.3632,49.7704886739339,7.79589738511819
"85","Fleringen 54597 Germany","E31238010000000000000053360424873",NA,NA,NA,NA,NA,NA,NA,NA,NA,723206223,54597,"Fleringen","Gewerbegebiet 901Z","1500","2003-12-18",2270519,7232,"Eifelkreis Bitburg-Prüm",723206,"Prüm",1875,2271,6375,281,1602.2016,50.2087780294228,6.49882459373242
"86","Fleringen 54597 Germany","E31238010000000000000053360400560",NA,NA,NA,NA,NA,NA,NA,NA,NA,723206223,54597,"Fleringen","Gewerbegebiet 901Z","1500","2003-12-18",2270519,7232,"Eifelkreis Bitburg-Prüm",723206,"Prüm",1875,2271,6375,281,1602.2016,50.2087987486453,6.49868839065638
"87","Fleringen 54597 Germany","E31238010000030212000000430418902","ENERCON GmbH","E40  6.44",600,"09.10.2000",7232223,50.216071,6.513539,65,44,723206223,54597,"Fleringen","Baselt 900 / 5","600","2000-10-09",945060,7232,"Eifelkreis Bitburg-Prüm",723206,"Prüm",1875,945,6375,675,2119.872,50.2162027242326,6.513444166604
"88","Fleringen 54597 Germany","E31238010000030212000000430411715",NA,NA,NA,NA,NA,NA,NA,NA,NA,723206223,54597,"Fleringen","Baselt 900 / 6","600","2000-10-06",945060,7232,"Eifelkreis Bitburg-Prüm",723206,"Prüm",1875,945,6375,675,2119.872,50.2087670719301,6.49870850325461
"89","Flomborn 55234 Germany","E32954010200000000003616500611208",NA,NA,NA,NA,NA,NA,NA,NA,NA,733101024,55234,"Flomborn","Güldengewanne","1500","2000-07-13",1843619,7331,"Alzey-Worms",733101,"Alzey-Land",2150,1844,7310,396,2133.9264,49.6918750805383,8.15076724687308
"90","Friedewald 57520 Germany","E31238010000000000000046572617024","ENERCON GmbH","E-58/10.58",1000,"20.12.2002",7143253,50.7047,7.9463,89,52.9,713203036,57520,"Friedewald","Nisterberger Weg 901 / 15","1000","2002-12-17",2434047,7132,"Altenkirchen",713203,"Daaden-Herdorf",1760,2434,5984,246,1385.92,50.7048567040154,7.9462433759626
"91","Fürfeld 55546 Germany","E32954010200000000003615000111202","Nordex Energy GmbH","N43",600,"23.06.1999",7133032,49.759553,7.873831,77.5,43,713301032,55546,"Fürfeld","Flur 15","600","1999-06-23",671154,7133,"Bad Kreuznach",713301,"Bad Kreuznach",2600,671,8840,1317,3189.1776,49.7597105840702,7.8737083689664
"92","Fürfeld 55546 Germany","E32954010200000000003615000111203","Nordex Energy GmbH","N43",600,"22.07.1999",7133032,49.759301,7.871033,77.5,43,713301032,55546,"Fürfeld","Flur 15","600","1999-07-22",671154,7133,"Bad Kreuznach",713301,"Bad Kreuznach",2600,671,8840,1317,3189.1776,49.7594380323819,7.8710079245109
"93","Fürfeld 55546 Germany","E32954010200000000003615000111214","Nordex Energy GmbH","N43",600,"01.07.2001",7133032,49.757093,7.872361,77.5,43,713301032,55546,"Fürfeld","Flur 15","600","2001-07-01",671154,7133,"Bad Kreuznach",713301,"Bad Kreuznach",2600,671,8840,1317,3189.1776,49.7571660098081,7.8722026245698
"94","Gau-Bickelheim 55599 Germany","E32954010200000000003615301511222",NA,NA,NA,NA,NA,NA,NA,NA,NA,733105030,55599,"Gau-Bickelheim","Flur 24 u. Flur 30","4000","2005-11-16",4758510,7331,"Alzey-Worms",733105,"Wöllstein",2150,4759,7310,154,995.9104,49.835400810773,8.02046673099346
"95","Gau-Heppenheim 55234 Germany","E32954010200000000003618000112857","Fuhrländer AG","FL1000",1000,"23.12.1998",7331031,49.739803,8.203067,70,54,733101031,55234,"Gau-Heppenheim","Flur 5","1000","1998-12-23",1186770,7331,"Alzey-Worms",733101,"Alzey-Land",2150,1187,7310,616,2390.4192,49.7399736748019,8.20289163294901
"96","Gelenberg 53539 Germany","E31238010000010212000000177909116","Südwind Borsig Energy GmbH","S 70",1500,"01.05.2001",7233010,50.059996,6.47666,85,70,723304212,53539,"Gelenberg","Blankenheimer Str. 900","1500","2001-03-22",1948232,7233,"Vulkaneifel",723304,"Kelberg",2825,1948,9605,493,2989.2928,50.060158869481,6.47674891027961
"97","Gerbach 67813 Germany","E30773010000000000000000200100014","ENERCON GmbH","E-66/18.70",1800,"27.10.2003",7333025,49.678704,7.892354,98,70,733307025,67813,"Gerbach","Schnebergerhof E66 113","1800","2003-09-30",3553285,7333,"Donnersbergkreis",733307,"Nordpfälzer Land",2475,3553,8415,237,1898.1248,49.6787254765497,7.89237129046749
"98","Gerbach 67813 Germany","E30773010000000000000000200100015","ENERCON GmbH","E-66/18.70",1800,"23.09.2003",7333025,49.67524,7.895377,114,70,733307025,67813,"Gerbach","Schnebergerhof E66 114","1800","2003-09-30",3553285,7333,"Donnersbergkreis",733307,"Nordpfälzer Land",2475,3553,8415,237,1898.1248,49.6753764249443,7.89548407478235
"99","Gerbach 67813 Germany","E30773010000000000000000200100013","Vestas Deutschland GmbH","V80",2000,"23.07.2003",7333025,49.677035,7.902818,100,80,733307025,67813,"Gerbach","Schnebergerhof V80 099","2000","2003-07-23",3948094,7333,"Donnersbergkreis",733307,"Nordpfälzer Land",2475,3948,8415,213,1743.9168,49.6771755040835,7.90268177975587
"100","Giesenhausen 57612 Germany","E31102010000000000001274255400001",NA,NA,NA,NA,NA,NA,NA,NA,NA,714302225,57612,"Giesenhausen","Flurstück( 13/2 )","600","1996-08-27",609360,7143,"Westerwald",714302,"Hachenburg",2350,609,7990,1312,2881.5424,50.701828071922,7.71885739059001
"101","Gilzem 54298 Germany","E31238010000010170000000298001456","Nordex Energy GmbH","N54 MK3",1000,"30.06.2000",7232077,49.876308,6.516614,70,54,723205225,54298,"Gilzem","An der K 25 900 / 31","1000","2000-06-30",1180388,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,1180,6375,540,2028.128,49.8762339775742,6.51675357072291
"102","Gundersheim 67598 Germany","E32954010200000000003616500511202",NA,NA,NA,NA,NA,NA,NA,NA,NA,733107036,67598,"Gundersheim","Ausserhalb 100","1200","1999-03-01",1017827,7331,"Alzey-Worms",733107,"Wonnegau",2150,1018,7310,718,2456.3968,49.6952137735552,8.20116445866326
"103","Gusterath 54317 Germany","E31238010000010170000002251800039",NA,NA,NA,NA,NA,NA,NA,NA,NA,723504037,54317,"Gusterath","An der K 61z / 523","660","1999-09-01",1042853,7235,"Trier-Saarburg",723504,"Ruwer",2675,1043,9095,872,3143.5008,49.7004189591875,6.71623414712566
"105","Gusterath 54317 Germany","E31238010000010170000002251818493","Vestas Deutschland GmbH","V47-660/200",660,"24.08.2000",7235037,49.718618,6.706328,65,47,723504037,54317,"Gusterath","An der K 61z / 510/4","660","2000-08-24",1042853,7235,"Trier-Saarburg",723504,"Ruwer",2675,1043,9095,872,3143.5008,49.7187782428737,6.70613653072684
"106","Gusterath 54317 Germany","E31238010000010170000002251818492",NA,NA,NA,NA,NA,NA,NA,NA,NA,723504037,54317,"Gusterath","An der K 61z / 528","660","1999-09-01",1042853,7235,"Trier-Saarburg",723504,"Ruwer",2675,1043,9095,872,3143.5008,49.7006231013134,6.7163402797128
"107","Gusterath 54317 Germany","E31238010000010170000002253311482","Südwind Borsig Energy GmbH","N3127/40",NA,"21.04.1995",7235037,49.71441,6.703769,40,31,723504037,54317,"Gusterath","An der K61 900Z / 13/3","270","1995-04-21",137294,7235,"Trier-Saarburg",723504,"Ruwer",2675,137,9095,6639,3497.2032,49.7142664297047,6.70363728635614
"108","Hahn am See 56244 Germany","E31102010000000000001274022500001","Fuhrländer AG","FL 1000",1000,"04.12.2001",7143220,50.530817,7.878062,70,54,714308232,56244,"Hahn am See","Außenbereich / Flurstück( 1765,1762,1736 )","1000","2001-12-04",971282,7143,"Westerwald",714308,"Wallmerod",2350,971,7990,823,2740.2176,50.5309471571151,7.87802224861969
"109","Hallschlag 54611 Germany","E31238010000030212000001159009089",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Trierer Str. 900 / 18/1","600","2001-01-25",719267,7233,"Vulkaneifel",723306,"Geroldstein",2825,719,9605,1336,3469.0944,50.3536632411012,6.43795266386305
"110","Hallschlag 54611 Germany","E31238010000030212000001159018038",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Trierer Str. 900 / 13/4","600","2001-01-29",719267,7233,"Vulkaneifel",723306,"Geroldstein",2825,719,9605,1336,3469.0944,50.3533725324336,6.43819402984993
"111","Hallschlag 54611 Germany","E31238010000030212000001159018039",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Trierer Str. 900 / 13/6","600","2002-03-18",719267,7233,"Vulkaneifel",723306,"Geroldstein",2825,719,9605,1336,3469.0944,50.3536427143079,6.43822347852324
"112","Hallschlag 54611 Germany","E31238010000030212000001160302383","ENERCON GmbH","E-66/15.66",1500,"18.10.2000",7233214,50.337516,6.417142,65,66,723306214,54611,"Hallschlag","Zur Kehr 901 / 59/10","1500","2000-10-19",2048887,7233,"Vulkaneifel",723306,"Geroldstein",2825,2049,9605,469,2949.8624,50.3377094087621,6.41719770489876
"113","Hallschlag 54611 Germany","E31238010000030212000001160310727",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 901 / 76","500","1998-06-24",682965,7233,"Vulkaneifel",723306,"Geroldstein",2825,683,9605,1406,3483.1488,50.3532853462339,6.43811995607463
"114","Hallschlag 54611 Germany","E31238010000030212000001161109134","ENERCON GmbH","E 40",500,"06.07.1998",7233214,50.345261,6.423824,63,40.3,723306214,54611,"Hallschlag","Zur Kehr 901 / 124","500","1998-07-06",691775,7233,"Vulkaneifel",723306,"Geroldstein",2825,692,9605,1388,3479.6352,50.3454008431109,6.42396961051084
"115","Hallschlag 54611 Germany","E31238010000030212000001160302382","ENERCON GmbH","E 40/500 kw",500,"22.06.1998",7233214,50.339312,6.420661,65,40,723306214,54611,"Hallschlag","Zur Kehr 901 / 59/5","500","1998-06-22",682965,7233,"Vulkaneifel",723306,"Geroldstein",2825,683,9605,1406,3483.1488,50.3392861648152,6.42084787909767
"116","Hallschlag 54611 Germany","E31238010000030212000001161911805","DeWind GmbH","De/600",500,"28.06.1998",7233214,50,6,70,46,723306214,54611,"Hallschlag","Zur Kehr 901 / 12","500","1998-06-28",698039,7233,"Vulkaneifel",723306,"Geroldstein",2825,698,9605,1376,3477.2928,49.9999169834137,5.99988303990616
"117","Hallschlag 54611 Germany","E31238010000030212000001165350622",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990 / 12","1000","2000-04-14",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.3536455017426,6.43827761284296
"118","Hallschlag 54611 Germany","E31238010000030212000001165350623","DeWind GmbH","D6/1000",1000,"17.04.2000",7233214,50,6,68.5,62,723306214,54611,"Hallschlag","Zur Kehr 990 / 5","1000","2000-04-17",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.0001796631326,6.00015713214446
"119","Hallschlag 54611 Germany","E31238010000030212000001161901230","DeWind GmbH","D4/600",500,"12.06.1998",7233214,50,6,70,46,723306214,54611,"Hallschlag","Zur Kehr 901 / 13/1","500","1998-06-12",698039,7233,"Vulkaneifel",723306,"Geroldstein",2825,698,9605,1376,3477.2928,50.0000978473769,6.00017000210583
"120","Hallschlag 54611 Germany","E31238010000030212000001159009088",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Trierer Str. 900 / 63/1","1000","2000-05-12",1349839,7233,"Vulkaneifel",723306,"Geroldstein",2825,1350,9605,711,3222.752,50.3532737732099,6.43800387387655
"121","Hallschlag 54611 Germany","E31238010000030212000001165318727",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990 / 4","1000","1998-12-16",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.3533496730864,6.43824756004668
"122","Hallschlag 54611 Germany","E31238010000030212000001165350614","DeWind GmbH","D6/1000",1000,"29.12.1999",7233214,50,6,68.5,62,723306214,54611,"Hallschlag","Zur Kehr 990 / 4","1000","1999-12-29",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,49.9999843559292,5.99981214542324
"123","Hallschlag 54611 Germany","E31238010000030212000001165350615",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990 / 4","1000","1999-12-28",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.3535679109523,6.43816073782683
"124","Hallschlag 54611 Germany","E31238010000030212000001165350616",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990 / 3","1000","1999-12-30",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.3536566355647,6.4380426526657
"125","Hallschlag 54611 Germany","E31238010000030212000001165350617",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990 / 19","1000","2000-02-29",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.3533942426716,6.43825177416985
"126","Hallschlag 54611 Germany","E31238010000030212000001165350618",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990","1000","2000-03-02",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.353623988373,6.43810731104451
"127","Hallschlag 54611 Germany","E31238010000030212000001165350619",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990 / 3","1000","2000-03-28",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.3533257682782,6.43827339076304
"128","Hallschlag 54611 Germany","E31238010000030212000001165350620","DeWind GmbH","D6/1000",1000,"30.03.2000",7233214,50,6,68.5,62,723306214,54611,"Hallschlag","Zur Kehr 990 / 5","1000","2000-03-30",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,49.9998396633465,6.00008054272952
"129","Hallschlag 54611 Germany","E31238010000030212000001165350621","DeWind GmbH","D6/1000",1000,"13.04.2000",7233214,50,6,68.5,62,723306214,54611,"Hallschlag","Zur Kehr 990 / 5","1000","2000-04-13",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.0001753500615,6.00002050364511
"130","Hallschlag 54611 Germany","E31238010000030212000001165350635","GE Wind Energy GmbH","GE1.5s",1500,"29.12.2000",7233235,50.28731,6.506431,80,70,723306214,54611,"Hallschlag","Zur Kehr 990 / 5","1500","2000-12-29",2089021,7233,"Vulkaneifel",723306,"Geroldstein",2825,2089,9605,460,2934.2464,50.287156994472,6.5065064155525
"131","Hallschlag 54611 Germany","E31238010000030212000001165350636","NEG Micon Deutschland GmbH","NM60/1000",1000,"11.09.2001",7233214,50.342806,6.464414,70,60,723306214,54611,"Hallschlag","Zur Kehr 990 / 21","1000","2001-09-11",1376621,7233,"Vulkaneifel",723306,"Geroldstein",2825,1377,9605,698,3212.2112,50.3426156178643,6.46446884718774
"132","Hallschlag 54611 Germany","E31238010000030212000001165350637",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990 / 31","1500","2002-08-19",2370562,7233,"Vulkaneifel",723306,"Geroldstein",2825,2371,9605,405,2824.1536,50.3536487426833,6.43810684753756
"133","Hallschlag 54611 Germany","E31238010000030212000001165350638",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990 / 59","1500","2002-08-19",2367418,7233,"Vulkaneifel",723306,"Geroldstein",2825,2367,9605,406,2825.7152,50.353425449,6.43812275828511
"134","Hallschlag 54611 Germany","E31238010000030212000001165350639",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990 / 67","1500","2002-08-20",2370562,7233,"Vulkaneifel",723306,"Geroldstein",2825,2371,9605,405,2824.1536,50.3533577220715,6.43803608094712
"135","Hallschlag 54611 Germany","E31238010000030212000001165350640",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990","1800","2004-04-08",2370562,7233,"Vulkaneifel",723306,"Geroldstein",2825,2371,9605,405,2824.1536,50.3534951454399,6.43830881467328
"136","Hallschlag 54611 Germany","E31238010000030212000001165350641",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 990","1800","2004-04-22",2370562,7233,"Vulkaneifel",723306,"Geroldstein",2825,2371,9605,405,2824.1536,50.3533634201142,6.43807306962374
"137","Hallschlag 54611 Germany","E31238010000030212000001165350628","GE Wind Energy GmbH","GE1.5s",1500,"18.12.2000",7233235,50.299,6.511461,80,70,723306214,54611,"Hallschlag","Zur Kehr 990 / 4","1500","2000-12-18",2089021,7233,"Vulkaneifel",723306,"Geroldstein",2825,2089,9605,460,2934.2464,50.2989860220387,6.51161633993589
"138","Hallschlag 54611 Germany","E31238010000030212000001165350629","GE Wind Energy GmbH","GE 1.5s",1500,"20.12.2000",7233235,50.290231,6.507747,80,70,723306214,54611,"Hallschlag","Zur Kehr 990 / 5","1500","2000-12-20",2089021,7233,"Vulkaneifel",723306,"Geroldstein",2825,2089,9605,460,2934.2464,50.2903454215719,6.50780375808815
"139","Hallschlag 54611 Germany","E31238010000030212000001165350630","GE Wind Energy GmbH","GE1.5s",1500,"21.12.2000",7233235,50.294714,6.528147,80,70,723306214,54611,"Hallschlag","Zur Kehr 990 / 5","1500","2000-12-21",2089021,7233,"Vulkaneifel",723306,"Geroldstein",2825,2089,9605,460,2934.2464,50.2945467889738,6.52801519336861
"140","Hallschlag 54611 Germany","E31238010000030212000001165350631","GE Wind Energy GmbH","GE 15.5s",1500,"21.12.2000",7233235,50.291206,6.502439,80,70,723306214,54611,"Hallschlag","Zur Kehr 990 / 4","1500","2000-12-21",2089021,7233,"Vulkaneifel",723306,"Geroldstein",2825,2089,9605,460,2934.2464,50.2913617233071,6.50253517699608
"141","Hallschlag 54611 Germany","E31238010000030212000001165350632","GE Wind Energy GmbH","GE1.5s",1500,"21.12.2000",7233235,50.296772,6.506722,80,70,723306214,54611,"Hallschlag","Zur Kehr 990 / 5","1500","2000-12-21",2089021,7233,"Vulkaneifel",723306,"Geroldstein",2825,2089,9605,460,2934.2464,50.2966198430523,6.50659631040239
"142","Hallschlag 54611 Germany","E31238010000030212000001165350633","GE Wind Energy GmbH","GE1.5s",1500,"28.12.2000",7233235,50.293297,6.509772,80,70,723306214,54611,"Hallschlag","Zur Kehr 990 / 5","1500","2000-12-28",2089021,7233,"Vulkaneifel",723306,"Geroldstein",2825,2089,9605,460,2934.2464,50.2933532478297,6.50971544953289
"143","Hallschlag 54611 Germany","E31238010000030212000001165350634","GE Wind Energy GmbH","GE 1,5s",1500,"28.12.2000",7233235,50.286172,6.498106,80,70,723306214,54611,"Hallschlag","Zur Kehr 990 / 6","1500","2000-12-28",2089021,7233,"Vulkaneifel",723306,"Geroldstein",2825,2089,9605,460,2934.2464,50.28598970578,6.49795305989379
"144","Hallschlag 54611 Germany","E31238010000030212000001162701234",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 901 / 13/2","500","1997-06-04",640473,7233,"Vulkaneifel",723306,"Geroldstein",2825,640,9605,1501,3499.936,50.3536237604992,6.4383319699601
"145","Hallschlag 54611 Germany","E31238010000030212000001162718041",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 901 / 13/1","500","1997-06-04",640473,7233,"Vulkaneifel",723306,"Geroldstein",2825,640,9605,1501,3499.936,50.3534976139901,6.43806494869531
"146","Hallschlag 54611 Germany","E31238010000030212000001163501216",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306214,54611,"Hallschlag","Zur Kehr 901 / 124","500","1997-06-20",624267,7233,"Vulkaneifel",723306,"Geroldstein",2825,624,9605,1539,3506.1824,50.3534460281141,6.43816131750128
"147","Hallschlag 54611 Germany","E31238010000030212000001164301226","ENERCON GmbH","E40",500,"06.06.1997",7233214,50.2017,6.2518,63,40.3,723306214,54611,"Hallschlag","Zur Kehr 901 / 59/10","500","1997-06-06",781762,7233,"Vulkaneifel",723306,"Geroldstein",2825,782,9605,1228,3444.4992,50.2015291190848,6.25161461733747
"148","Hallschlag 54611 Germany","E31238010000030212000001165350626","DeWind GmbH","D6/1000",1000,"01.12.2000",7233214,50.366772,6.420114,68.5,62,723306214,54611,"Hallschlag","Zur Kehr 990 / 3","1000","2000-12-01",1510331,7233,"Vulkaneifel",723306,"Geroldstein",2825,1510,9605,636,3160.288,50.3665862574736,6.42009288438338
"149","Hallschlag 54611 Germany","E31238010000030212000001165350627","GE Wind Energy GmbH","GE1.5s",1500,"16.12.2000",7233235,50.298678,6.50475,80,70,723306214,54611,"Hallschlag","Zur Kehr 990 / 4","1500","2000-12-16",2089021,7233,"Vulkaneifel",723306,"Geroldstein",2825,2089,9605,460,2934.2464,50.2986430180996,6.50486322511323
"150","Hallschlag 54611 Germany","E31238010000030212000001165350624","NEG Micon Deutschland GmbH","NM60/1000",1000,"26.10.2000",7233214,50.339569,6.434389,70,60,723306214,54611,"Hallschlag","Zur Kehr 990 / 12","1000","2000-10-26",1376621,7233,"Vulkaneifel",723306,"Geroldstein",2825,1377,9605,698,3212.2112,50.3395377912832,6.43428990497723
"151","Hallschlag 54611 Germany","E31238010000030212000001165350625","NEG Micon Deutschland GmbH","NM60/1000",1000,"01.11.2000",7233214,50.341214,6.434542,70,60,723306214,54611,"Hallschlag","Zur Kehr 990 / 12","1000","2000-11-01",1376621,7233,"Vulkaneifel",723306,"Geroldstein",2825,1377,9605,698,3212.2112,50.3411236490194,6.43469289069754
"152","Harspelt 54617 Germany","E31238010000030212000001442711726","Nordex SE","Nordex N-29",250,"01.11.1994",7232234,50.14475,6.16678,50,29,723201234,54617,"Harspelt","Dorfstr. 13 / 261/73","250","1994-11-01",256802,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,257,6375,2481,2388.4672,50.1445888075842,6.16687156793486
