"","adress","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung","lat_wgs84","lon_wgs84"
"17","Arzfeld 54687 Germany","E31238010000000000000052080300686","ENERCON GmbH","E-66/18.70-3",1800,"07.11.2003",7232264,50.089499,6.307146,98,70,723201201,54687,"Arzfeld","Dreis 901Z / 185/84","1800","2003-11-07",2593715,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,2594,6375,246,1476.1024,50.0894918789268,6.30724149889863
"18","Arzfeld 54687 Germany","E31238010000000000000052080320627","ENERCON GmbH","E-66/18.70-3",1800,"17.11.2003",7232201,50.085501,6.295704,98,70,723201201,54687,"Arzfeld","Dreis 901Z / 88/14","1800","2003-11-17",2593715,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,2594,6375,246,1476.1024,50.0854209172333,6.2957563215767
"19","Bad Marienberg Westerwald 
                                  Germany","E31102010000000000001274362300001","Fuhrländer AG","FL 800",800,"09.07.1998",7143248,50,7,70,48,714301248,57629,"Kirburg","Auf der Heide / Flurstück( 685-688 )","800","1998-07-09",930300,7143,"Westerwald",714301,"Bad Marienberg",2350,930,7990,859,2756.224,50.000177337302,7.00013438710636
"20","Beinhausen 54552 Germany","E31238010000000000000050236400025","Vestas Deutschland GmbH","V80",2000,"15.07.2003",7233048,50.26496,6.89335,100,80,723304003,54552,"Beinhausen","Hauptstr. 0 / 19","2000","2003-07-15",2889320,7233,"Vulkaneifel",723304,"Kelberg",2825,2889,9605,332,2621.9264,50.265084646577,6.89354297822239
"21","Beinhausen 54552 Germany","E31238010000000000000041397917079","DeWind GmbH","D6",1250,"21.01.2002",7233003,50.256944,6.907222,91.5,62,723304003,54552,"Beinhausen","Auf dem Hügel  / 19","1250","2002-01-21",1598922,7233,"Vulkaneifel",723304,"Kelberg",2825,1599,9605,601,3125.5424,50.2570119960502,6.90708463456279
"22","Bellheim 76756 Germany","E30254010000000000005230789306702","GE Renewable Germany GmbH","77 1,5",1500,"17.12.2003",7334001,49.175425,8.260155,100,77,733401001,76756,"Bellheim","Gemarkung Bellheim, Flurst. 1748/2","1500","2003-12-17",2282790,7334,"Germersheim",733401,"Bellheim",2425,2283,8245,361,2327.5648,49.1755195956421,8.26006114101747
"23","Bellheim 76756 Germany","E30254010000000000005230789301730","GE Renewable Germany GmbH","77 1,5",1500,"21.12.2003",7334001,49.174193,8.262902,100,77,733401001,76756,"Bellheim","Gemarkung Bellheim, Flurst. 1761","1500","2003-12-21",2282789,7334,"Germersheim",733401,"Bellheim",2425,2283,8245,361,2327.5648,49.1741612662066,8.26289678591178
"24","Bellheim 76756 Germany","E30254010000000000005230789301729","GE Renewable Germany GmbH","77 1,5",1500,"21.12.2003",7334001,49.173358,8.268825,100,77,733401001,76756,"Bellheim","Gemarkung Bellheim, Flurst. 1794/2","1500","2003-12-21",2282789,7334,"Germersheim",733401,"Bellheim",2425,2283,8245,361,2327.5648,49.1733978077725,8.26887276473837
"25","Beltheim 56290 Germany","E31238010000020120000007635809808",NA,NA,NA,NA,NA,NA,NA,NA,NA,714003010,56290,"Beltheim","Am Waldackerborn 900Z","600","1997-06-20",708085,7140,"Rhein-Hundsrück",714003,"Kastellaun",2450,708,8330,1177,2975.6288,50.1060308169307,7.46132348178726
"26","Berghausen 56368 Germany","E31495010000000000060208034400000","AN-Maschinenbau- und Umweltschutzanlagen GmbH","Bonus 1300",1300,"19.09.2001",7141010,50.256844,8.016799,59,62,714111010,56368,"Berghausen","Am Steinritz 0","1300","2001-10-25",1424441,7141,"Rhein-Lahn",714111,"Aar-Einrich",3700,1424,12580,883,4355.3024,50.2568306705642,8.01672714922268
"27","Berndroth 56370 Germany","E31495010000000000060208047000000","Fuhrländer AG","FL1000",1000,"27.09.2001",7141011,50.243078,7.974453,70,54,714111011,56370,"Berndroth","Am Steinberg 0","3000","2001-09-27",2975282,7141,"Rhein-Lahn",714111,"Aar-Einrich",3700,2975,12580,423,3749.792,50.2430223506371,7.9746166407882
"28","Bisterschied 67806 Germany","E30254010000000000005230822707035",NA,NA,NA,NA,NA,NA,NA,NA,NA,733307008,67806,"Bisterschied","Gemarkung Bisterschied, Flurst. 935/1, Birkenkopf","500","1999-11-04",742214,7333,"Donnersbergkreis",733307,"Nordpfälzer Land",2475,742,8415,1134,2995.5392,49.6446475122878,7.7493343406977
"29","Bisterschied 67806 Germany","E30254010000000000005230827307061",NA,NA,NA,NA,NA,NA,NA,NA,NA,733307008,67806,"Bisterschied","Gemarkung Bisterschied, Flurst. 935/1, Birkenkopf","1800","2004-02-27",2707546,7333,"Donnersbergkreis",733307,"Nordpfälzer Land",2475,2708,8415,311,2228.0128,49.6447934987369,7.74950805557192
"30","Bisterschied 67806 Germany","E30254010000000000005230822702034","ENERCON GmbH","E-66 /15.66",1500,"10.04.2000",7333008,49.628597,7.755712,67,66,733307008,67806,"Bisterschied","Gemarkung Bisterschied, Flurst. 935/1, Birkenkopf","1500","2000-04-10",1975377,7333,"Donnersbergkreis",733307,"Nordpfälzer Land",2475,1975,8415,426,2514.176,49.6284989530981,7.75558661255211
"31","Bitburg 54634 Germany","E3123801V000000000000000719641327","Nordex Energy GmbH","S70",1500,"21.06.2001",7232120,50.065,6.537777,85,70,723200018,54634,"Bitburg","Mötscher Str. 900 / 53","1500","2001-06-21",1421877,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1422,6375,448,1933.6512,50.0650802815519,6.53783204995547
"32","Bitburg 54634 Germany","E3123801V000000000000000719641333","Nordex Energy GmbH","S70",1500,"10.07.2001",7232120,50.0675,6.530833,85,70,723200018,54634,"Bitburg","Mötscher Str. 900 / 60","1500","2001-07-10",1421928,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1422,6375,448,1933.6512,50.0673359985402,6.53069178114318
"33","Bitburg 54634 Germany","E3123801V000000000000000719641328",NA,NA,NA,NA,NA,NA,NA,NA,NA,723200018,54634,"Bitburg","Mötscher Str. 900 / 41","1500","2001-06-27",1421877,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1422,6375,448,1933.6512,49.9730771732479,6.52504148239133
"34","Bitburg 54634 Germany","E3123801V000000000000000719641330","Nordex Energy GmbH","S70",1500,"14.06.2001",7232120,50.068333,6.5375,85,70,723200018,54634,"Bitburg","Mötscher Str. 900 / 51","1500","2001-06-14",1421877,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1422,6375,448,1933.6512,50.0684739928812,6.53737133893296
"35","Bitburg 54634 Germany","E3123801V000000000000000719641331","Nordex Energy GmbH","S70",1500,"20.06.2001",7232120,50.070833,6.533055,85,70,723200018,54634,"Bitburg","Mötscher Str. 900 / 49","1500","2001-06-20",1421877,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1422,6375,448,1933.6512,50.0707927227842,6.53321926062966
"36","Bitburg 54634 Germany","E3123801V000000000000000719641325","Nordex Energy GmbH","S70",1500,"07.06.2001",7232120,50.061111,6.533055,85,70,723200018,54634,"Bitburg","Mötscher Str. 900 / 31","1500","2001-06-07",1421877,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1422,6375,448,1933.6512,50.0610095392236,6.53309336793192
"37","Bitburg 54634 Germany","E31238010000000000000037106008010","Nordex Energy GmbH","N80",2500,"20.09.2001",7232120,50.046344,6.521711,80,80,723200018,54634,"Bitburg","Mötscher Str. 900 / 35","2500","2001-09-20",1416769,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1417,6375,450,1935.6032,50.0462133480778,6.52180056955895
"38","Bitburg 54634 Germany","E3123801V000000000000000719641335","Nordex Energy GmbH","S70",1500,"11.09.2001",7232120,50.064166,6.531388,85,70,723200018,54634,"Bitburg","Mötscher Str. 900 / 55","1500","2001-09-11",1421875,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1422,6375,448,1933.6512,50.0640911533428,6.53145990944431
"39","Bitburg 54634 Germany","E3123801V000000000000000719644618","Nordex Energy GmbH","S70",1500,"16.07.2002",7232120,50.071111,6.536666,85,70,723200018,54634,"Bitburg","Mötscher Str. 900 / 48","1500","2002-07-16",1421875,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1422,6375,448,1933.6512,50.0711131532767,6.53663019208543
"40","Bitburg 54634 Germany","E3123801V000000000000000719641323","Nordex Energy GmbH","N80",2500,"01.09.2001",7232018,49.997222,6.526388,80,80,723200018,54634,"Bitburg","Mötscher Str. 900 / 18","2500","2001-09-01",1945654,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1946,6375,328,1729.0816,49.9972340717739,6.52650381409005
"41","Bitburg 54634 Germany","E3123801V000000000000000719614944","Nordex Energy GmbH","N80",2500,"09.11.2001",7232018,50.001367,6.527038,60,80,723200018,54634,"Bitburg","Mötscher Str. 900 / 37","2500","2001-11-09",1747446,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1747,6375,365,1806.7712,50.0015563803791,6.52691309191837
"42","Bitburg 54634 Germany","E3123801V000000000000000719641320","Nordex Energy GmbH","N80",2500,"25.08.2001",7232018,49.994444,6.525833,80,80,723200018,54634,"Bitburg","Mötscher Str. 900 / 42","2500","2001-08-25",1945654,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1946,6375,328,1729.0816,49.9944400263237,6.52573935618623
"43","Bitburg 54634 Germany","E31238010000000000000037106001302","Nordex Energy GmbH","N80",2500,"24.09.2001",7232120,50.046816,6.516792,80,80,723200018,54634,"Bitburg","Mötscher Str. 900 / 67","2500","2001-09-24",1417195,7232,"Eifelkreis Bitburg-Prüm",723200,"vfr Eifelkreis Bitburg-Prüm",1875,1417,6375,450,1935.6032,50.0466995808397,6.51679106143956
"44","Breitenbach 66916 Germany","E30254010000000000005230790901759",NA,NA,NA,NA,NA,NA,NA,NA,NA,733609010,66916,"Breitenbach","Windkraftanlage","1500","2004-12-15",2508484,7336,"Kusel",733609,"Oberes Glantal",2700,2508,9180,366,2604.7488,49.4334796089124,7.26666511024347
"45","Breitenbach 66916 Germany","E30254010000000000005230790901758",NA,NA,NA,NA,NA,NA,NA,NA,NA,733609010,66916,"Breitenbach","Windkraftanlage","1500","2004-12-15",2508484,7336,"Kusel",733609,"Oberes Glantal",2700,2508,9180,366,2604.7488,49.4332247809299,7.26664927305158
"46","Breitenbach 66916 Germany","E30254010000000000005230790906679",NA,NA,NA,NA,NA,NA,NA,NA,NA,733609010,66916,"Breitenbach","Windkraftanlage","1500","2004-12-15",2508484,7336,"Kusel",733609,"Oberes Glantal",2700,2508,9180,366,2604.7488,49.4333557261714,7.26685367299708
"47","Breitenbach 66916 Germany","E30254010000000000005230790901757",NA,NA,NA,NA,NA,NA,NA,NA,NA,733609010,66916,"Breitenbach","Windkraftanlage","1500","2004-12-17",2508481,7336,"Kusel",733609,"Oberes Glantal",2700,2508,9180,366,2604.7488,49.4334117141234,7.26682826197546
"48","Brimingen 54646 Germany","E31238010000000000000067358518958","ENERCON GmbH","E-40/6.44",600,"15.09.2005",7232021,49.963365,6.36201,65,44,723208502,54646,"Brimingen","An der B 50 / 38","600","2005-09-15",714423,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,714,6375,893,2210.0544,49.9633306213135,6.36189809739733
"49","Brimingen 54646 Germany","E31238010000000000000067358518956","ENERCON GmbH","E-40/6.44",600,"21.09.2005",7232021,49.961709,6.363417,65,44,723208502,54646,"Brimingen","An der B 50","600","2005-09-21",714423,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,714,6375,893,2210.0544,49.9615988334484,6.36332345671003
"50","Büdesheim 54610 Germany","E31238010000000000000053202101080",NA,NA,NA,NA,NA,NA,NA,NA,NA,723206209,54610,"Büdesheim","Flur 10, Flurstück 26 (Prümer Berg) 0","1800","2004-09-15",2525016,7232,"Eifelkreis Bitburg-Prüm",723206,"Prüm",1875,2525,6375,252,1503.04,50.2163619320754,6.55285912247523
"51","Dambach 55765 Germany","E31280100000000340000005110101196","ENERCON GmbH","Enercon 40",500,"29.06.1995",7134018,49.627936,7.12756,50,40.3,713402018,55765,"Dambach","Am Hammelsberg 900Z","500","1995-06-29",552665,7134,"Birkenfeld",713402,"Birkefeld",1850,553,6290,1137,2239.7248,49.627996532373,7.12745383805981
"52","Desloch 55592 Germany","E31238010000000000000036889621300","GE Wind Energy GmbH","GE 1.5s",1500,"01.08.2001",7133024,49.709377,7.62458,65,70,713310024,55592,"Desloch","Windpark 900 / 52/2","1500","2001-08-01",1497411,7133,"Bad Kreuznach",713310,"Nahe Glan",2600,1497,8840,591,2866.7072,49.7095578829869,7.62444186435241
"53","Desloch 55592 Germany","E31238010000000000000036889601506","GE Wind Energy GmbH","GE 1.5s",1500,"26.07.2001",7133024,49.708969,7.63143,65,70,713310024,55592,"Desloch","Windpark 900 / 28","1500","2001-07-26",1497411,7133,"Bad Kreuznach",713310,"Nahe Glan",2600,1497,8840,591,2866.7072,49.7088744713367,7.6314196101187
